Client name;Material Description;Client Material No;AVO Material No;Quantity;Date from;Date until
VALEO Poland;UNKNOWN;187144;1026188;68550;16.05.2025;
VALEO Poland;UNKNOWN;187144;1026188;68550;2025 w32;2025 w35
VALEO Poland;UNKNOWN;187144;1026188;68550;2025 w44;2025 w48
VALEO Poland;UNKNOWN;187144;1026188;68550;2026 w05;2026 w09
VALEO Poland;UNKNOWN;187144;1026188;68550;2026 w18;2026 w22
VALEO Poland;UNKNOWN;190313;1023093;41250;16.05.2025;
VALEO Poland;UNKNOWN;190313;1023093;41250;28.05.2025;
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w25;2025 w25
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w27;2025 w27
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w29;2025 w29
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w32;2025 w35
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w36;2025 w40
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w40;2025 w44
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w44;2025 w48
VALEO Poland;UNKNOWN;190313;1023093;41250;2025 w49;2026 w01
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w01;2026 w05
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w05;2026 w09
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w09;2026 w14
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w14;2026 w18
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w18;2026 w22
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w23;2026 w27
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w27;2026 w31
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w31;2026 w36
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w36;2026 w40
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w40;2026 w44
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w44;2026 w49
VALEO Poland;UNKNOWN;190313;1023093;41250;2026 w49;2026 w53
VALEO Poland;UNKNOWN;190313;1023093;41250;2027 w05;2027 w08
VALEO Poland;UNKNOWN;191663;1023645;41250;16.05.2025;
VALEO Poland;UNKNOWN;191663;1023645;41250;2025 w27;2025 w27
VALEO Poland;UNKNOWN;191663;1023645;41250;2025 w32;2025 w35
VALEO Poland;UNKNOWN;191663;1023645;41250;2025 w40;2025 w44
VALEO Poland;UNKNOWN;191663;1023645;41250;2025 w49;2026 w01
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w01;2026 w05
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w09;2026 w14
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w18;2026 w22
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w23;2026 w27
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w31;2026 w36
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w40;2026 w44
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w44;2026 w49
VALEO Poland;UNKNOWN;191663;1023645;41250;2026 w53;2027 w04
VALEO Poland;UNKNOWN;194470;1026258;10000;19.05.2025;
VALEO Poland;UNKNOWN;194470;1026258;10000;27.05.2025;
VALEO Poland;UNKNOWN;194470;1026258;10000;03.06.2025;
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w24;2025 w24
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w26;2025 w26
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w27;2025 w27
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w28;2025 w28
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w29;2025 w29
VALEO Poland;UNKNOWN;194470;1026258;20000;2025 w32;2025 w35
VALEO Poland;UNKNOWN;194470;1026258;20000;2025 w36;2025 w40
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w40;2025 w44
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w44;2025 w48
VALEO Poland;UNKNOWN;194470;1026258;10000;2025 w49;2026 w01
VALEO Poland;UNKNOWN;194470;1026258;20000;2026 w01;2026 w05
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w05;2026 w09
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w09;2026 w14
VALEO Poland;UNKNOWN;194470;1026258;20000;2026 w14;2026 w18
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w18;2026 w22
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w23;2026 w27
VALEO Poland;UNKNOWN;194470;1026258;20000;2026 w27;2026 w31
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w31;2026 w36
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w36;2026 w40
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w40;2026 w44
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w44;2026 w49
VALEO Poland;UNKNOWN;194470;1026258;10000;2026 w49;2026 w53
VALEO Poland;UNKNOWN;202066;1026540;2000;21.05.2025;
VALEO Poland;UNKNOWN;202066;1026540;2000;2025 w25;2025 w25
VALEO Poland;UNKNOWN;202066;1026540;2000;2025 w31;2025 w31
VALEO Poland;UNKNOWN;202066;1026540;2000;2025 w36;2025 w40
VALEO Poland;UNKNOWN;202066;1026540;4000;2025 w40;2025 w44
VALEO Poland;UNKNOWN;202066;1026540;2000;2025 w44;2025 w48
VALEO Poland;UNKNOWN;202066;1026540;2000;2025 w49;2026 w01
VALEO Poland;UNKNOWN;202066;1026540;2000;2026 w09;2026 w14
VALEO Poland;UNKNOWN;202066;1026540;2000;2026 w18;2026 w22
VALEO Poland;UNKNOWN;202066;1026540;2000;2026 w23;2026 w27
VALEO Poland;UNKNOWN;214188;1026629;8000;21.05.2025;
VALEO Poland;UNKNOWN;214188;1026629;2000;2025 w27;2025 w27
VALEO Poland;UNKNOWN;214188;1026629;2000;2025 w32;2025 w35
VALEO Poland;UNKNOWN;214188;1026629;2000;2025 w36;2025 w40
VALEO Poland;UNKNOWN;214188;1026629;2000;2025 w40;2025 w44
VALEO Poland;UNKNOWN;214188;1026629;2000;2025 w44;2025 w48
VALEO Poland;UNKNOWN;214188;1026629;2000;2025 w49;2026 w01
VALEO Poland;UNKNOWN;214188;1026629;2000;2026 w01;2026 w05
VALEO Poland;UNKNOWN;214188;1026629;2000;2026 w05;2026 w09
VALEO Poland;UNKNOWN;214188;1026629;2000;2026 w09;2026 w14
