ClientCode,ProductCode,Date,Quantity,ExpectedDeliveryDate
C00018,VW000015857,2025_18,441,2025-04-28
C00018,VW000037397,2025_18,36993,2025-04-28
C00018,VW000051918,2025_18,4274,2025-04-28
C00018,V53342636,2025_18,1764,2025-04-28
C00018,V53512445,2025_18,1800,2025-04-28
C00018,VW000054852,2025_18,43200,2025-04-28
C00018,VW000007073,2025_18,6174,2025-04-28
C00018,VW000065335,2025_18,849,2025-04-28
C00018,VW151616,2025_18,24000,2025-04-28
C00018,V53342836,2025_18,2205,2025-04-28
C00018,V53343106,2025_18,9261,2025-04-28
C00018,VW000035924,2025_18,18088,2025-04-28
C00018,VW000027021,2025_18,1323,2025-04-28
C00018,VW000038990,2025_18,4800,2025-04-28
C00018,VW000067337,2025_18,32,2025-04-28
C00018,VW000097898,2025_18,19200,2025-04-28
C00018,V53512535,2025_18,400,2025-04-28
C00018,VW000027021,2025_19,441,2025-05-05
C00018,VW000037335,2025_19,48,2025-05-05
C00018,VW000035924,2025_19,10198,2025-05-05
C00018,V53343106,2025_19,5733,2025-05-05
C00018,V53342836,2025_19,882,2025-05-05
C00018,VW000038990,2025_19,3200,2025-05-05
C00018,VW000097898,2025_19,13424,2025-05-05
C00018,VW000051918,2025_19,1243,2025-05-05
C00018,VW000095903,2025_19,2376,2025-05-05
C00018,VW000037397,2025_19,13070,2025-05-05
C00018,VW151616,2025_19,12800,2025-05-05
C00018,VW000007073,2025_19,3969,2025-05-05
C00018,VW000065335,2025_19,480,2025-05-05
C00018,VW000054852,2025_19,22400,2025-05-05
C00018,V53342636,2025_20,2205,2025-05-12
C00018,VW000037397,2025_20,14755,2025-05-12
C00018,VW000095903,2025_20,4752,2025-05-12
C00018,VW000051918,2025_20,2809,2025-05-12
C00018,VW000054852,2025_20,30400,2025-05-12
C00018,VW000007073,2025_20,3969,2025-05-12
C00018,V53512215,2025_20,84,2025-05-12
C00018,VW000065335,2025_20,760,2025-05-12
C00018,VW151616,2025_20,17600,2025-05-12
C00018,VW000092467,2025_20,992,2025-05-12
C00018,V53342836,2025_20,1323,2025-05-12
C00018,V53343106,2025_20,7497,2025-05-12
C00018,V53342676,2025_20,441,2025-05-12
C00018,V53342296,2025_20,934,2025-05-12
C00018,VW000037395,2025_20,2400,2025-05-12
C00018,VW000035924,2025_20,14096,2025-05-12
C00018,VW000027021,2025_20,441,2025-05-12
C00018,VW000037335,2025_20,409,2025-05-12
C00018,VW000038990,2025_20,4800,2025-05-12
C00018,VW000097898,2025_20,15020,2025-05-12
C00018,VW000035923,2025_20,379,2025-05-12
C00018,V53342636,2025_21,1764,2025-05-19
C00018,VW000051918,2025_21,2458,2025-05-19
C00018,VW000095903,2025_21,9504,2025-05-19
C00018,VW000037397,2025_21,12697,2025-05-19
C00018,VW000092467,2025_21,3534,2025-05-19
C00018,VW151616,2025_21,19200,2025-05-19
C00018,VW000065335,2025_21,736,2025-05-19
C00018,V53512215,2025_21,364,2025-05-19
C00018,VW000054852,2025_21,28800,2025-05-19
C00018,VW000007073,2025_21,2205,2025-05-19
C00018,VW000037335,2025_21,410,2025-05-19
C00018,VW000035924,2025_21,13904,2025-05-19
C00018,V53342296,2025_21,1100,2025-05-19
C00018,VW000037395,2025_21,2400,2025-05-19
C00018,V53343106,2025_21,6615,2025-05-19
C00018,V53342836,2025_21,882,2025-05-19
C00018,VW000027021,2025_21,441,2025-05-19
C00018,VW000038990,2025_21,4000,2025-05-19
C00018,VW000035923,2025_21,389,2025-05-19
C00018,VW000097898,2025_21,17446,2025-05-19
C00018,V53343106,2025_22,5292,2025-05-26
C00018,V53342836,2025_22,441,2025-05-26
C00018,VW000035924,2025_22,11046,2025-05-26
C00018,V53342296,2025_22,800,2025-05-26
C00018,VW000037335,2025_22,102,2025-05-26
C00018,VW000038990,2025_22,4000,2025-05-26
C00018,VW000097898,2025_22,12030,2025-05-26
C00018,VW000035923,2025_22,220,2025-05-26
C00018,V53342636,2025_22,882,2025-05-26
C00018,VW000037397,2025_22,10787,2025-05-26
C00018,VW000095903,2025_22,2376,2025-05-26
C00018,VW000058808,2025_22,233,2025-05-26
C00018,VW000051918,2025_22,1959,2025-05-26
C00018,VW000054852,2025_22,22400,2025-05-26
C00018,VW000007073,2025_22,882,2025-05-26
C00018,V53512215,2025_22,256,2025-05-26
C00018,VW000065335,2025_22,544,2025-05-26
C00018,VW000092467,2025_22,2953,2025-05-26
C00018,VW151616,2025_22,12800,2025-05-26
C00018,V53342636,2025_23,882,2025-06-02
C00018,VW000095903,2025_23,7128,2025-06-02
C00018,VW000051918,2025_23,1453,2025-06-02
C00018,VW000058808,2025_23,515,2025-06-02
C00018,VW000037397,2025_23,2061,2025-06-02
C00018,VW000007073,2025_23,2646,2025-06-02
C00018,VW000068615,2025_23,457,2025-06-02
C00018,VW000054852,2025_23,21600,2025-06-02
C00018,V53512215,2025_23,160,2025-06-02
C00018,VW000092467,2025_23,3636,2025-06-02
C00018,VW151616,2025_23,19200,2025-06-02
C00018,VW000065335,2025_23,560,2025-06-02
C00018,VW000035924,2025_23,11114,2025-06-02
C00018,VW000037335,2025_23,123,2025-06-02
C00018,VW000027021,2025_23,441,2025-06-02
C00018,V53343106,2025_23,5292,2025-06-02
C00018,V53342296,2025_23,720,2025-06-02
C00018,V53342836,2025_23,882,2025-06-02
C00018,VW000038990,2025_23,3200,2025-06-02
C00018,VW000035923,2025_23,131,2025-06-02
C00018,VW000097898,2025_23,16655,2025-06-02
C00018,VW000054852,2025_24,24000,2025-06-10
C00018,VW000007073,2025_24,3528,2025-06-10
C00018,V53512215,2025_24,200,2025-06-10
C00018,VW000065335,2025_24,600,2025-06-10
C00018,VW151616,2025_24,12800,2025-06-10
C00018,VW000092467,2025_24,2772,2025-06-10
C00018,VW000037397,2025_24,2638,2025-06-10
C00018,V53342696,2025_24,441,2025-06-10
C00018,VW000095903,2025_24,7128,2025-06-10
C00018,VW000058808,2025_24,383,2025-06-10
C00018,VW000051918,2025_24,2400,2025-06-10
C00018,V53342636,2025_24,1764,2025-06-10
C00018,V53342836,2025_24,882,2025-06-10
C00018,VW000037395,2025_24,1600,2025-06-10
C00018,V53343106,2025_24,6174,2025-06-10
C00018,VW000037335,2025_24,181,2025-06-10
C00018,VW000035924,2025_24,12366,2025-06-10
