ClientCode,ProductCode,Date,Quantity
C00132,VW000020607,2025_18,800
C00125,VW000023134,2025_18,175
C00303,VW000040372SLP,2025_18,4704
C00303,VW000092467SLP,2025_18,19840
C00303,VW000052297SLP,2025_18,504
C00303,VW000085272SLP,2025_18,336
C00072,VW447251BRA,2025_18,1120
C00303,VW000079423SLP,2025_18,3600
C00303,VW347551SLP,2025_18,5760
C00125,V471.553D,2025_18,5600
C00303,VW000095163SLP,2025_18,1760
C00303,VW000065106SLP,2025_18,3024
C00303,VW000037397SLP,2025_18,6400
C00303,VW000026780SLP,2025_18,1848
C00303,VW447832SLP,2025_18,3200
C00250,VW000037397POL,2025_18,40800
C00250,VW000079619POL,2025_18,800
C00250,VW000079423POL,2025_18,2400
C00250,VW447832POL,2025_18,736
C00250,VW262948POL,2025_18,560
C00250,VW000066590POL,2025_18,1400
C00250,VW000051919POL,2025_18,3640
C00250,VW000038990POL,2025_18,6400
C00250,VW241391POL,2025_18,2400
C00250,VW347551POL,2025_18,2312
C00250,VW000072687POL,2025_18,4760
C00250,VW000095163POL,2025_18,2544
C00250,VW256713POL,2025_18,2674
C00250,VW000092467POL,2025_18,3264
C00250,VW000068615POL,2025_18,4872
C00303,VW000079423SLP,2025_19,4800
C00303,VW000079423SLP,2025_19,4800
C00303,VW347551SLP,2025_19,5600
C00303,VW347551SLP,2025_19,17920
C00303,VW000065106SLP,2025_19,12264
C00303,VW000065106SLP,2025_19,3528
C00303,VW000095163SLP,2025_19,11840
C00303,VW000095163SLP,2025_19,960
C00018,V53343106,2025_19,11466
C00018,VW000038990,2025_19,2400
C00018,V53342836,2025_19,2205
C00018,VW000035924,2025_19,9198
C00018,VW000027021,2025_19,882
C00250,VW000026833POL,2025_19,280
C00072,V53342696BRA,2025_19,2646
C00072,VW000038990BRA,2025_19,3200
C00072,VW000035923BRA,2025_19,11480
C00018,V53512535,2025_19,400
C00018,VW000067337,2025_19,32
C00072,VW000058808BRA,2025_19,5600
C00303,VW000026780SLP,2025_19,1680
C00303,VW000026780SLP,2025_19,5880
C00303,VW000037397SLP,2025_19,10400
C00303,VW000037397SLP,2025_19,7200
C00018,VW000097898,2025_19,26860
C00303,VW000085271SLP,2025_19,504
C00303,VW447832SLP,2025_19,13760
C00303,VW447832SLP,2025_19,3520
C00303,VW000052297SLP,2025_19,1512
C00303,VW000052297SLP,2025_19,504
C00303,VW000040372SLP,2025_19,4704
C00303,VW000040372SLP,2025_19,7728
C00072,VW151616BRA,2025_19,140
C00303,VW000092467SLP,2025_19,28160
C00018,VW000037397,2025_19,18725
C00018,VW000051918,2025_19,3319
C00018,V53342636,2025_19,882
C00018,VW000015857,2025_19,441
C00072,V53343086BRA,2025_19,560
C00072,VW000037335BRA,2025_19,2240
C00018,VW151616,2025_19,27200
C00018,VW000065335,2025_19,709
C00303,VW000085272SLP,2025_19,1008
C00018,V53512445,2025_19,1800
C00018,VW000007073,2025_19,9261
C00018,VW000054852,2025_19,29600
C00250,VW000095903POL,2025_19,552
C00250,VW262948POL,2025_19,1120
C00250,VW447832POL,2025_19,2576
C00250,VW000066590POL,2025_19,560
C00250,VW000051919POL,2025_19,7560
C00250,VW000074561POL,2025_19,1400
C00250,VW000037397POL,2025_19,60000
C00250,VW000079619POL,2025_19,800
C00250,VW000040372POL,2025_19,3080
C00250,VW000026780POL,2025_19,504
C00250,VW000097898POL,2025_19,6256
C00250,VW000079423POL,2025_19,8000
C00250,VW000092467POL,2025_19,5984
C00072,VW447251BRA,2025_19,2520
C00250,VW000095163POL,2025_19,13064
C00250,VW256713POL,2025_19,4500
C00250,VW000022745POL,2025_19,840
C00250,VW000068615POL,2025_19,7224
C00250,VW000038990POL,2025_19,8800
C00250,VW284514POL,2025_19,560
C00250,VW241391POL,2025_19,4800
C00250,VW000072687POL,2025_19,4200
C00250,VW347551POL,2025_19,2800
C00303,VW347551SLP,2025_20,5760
C00303,VW000079423SLP,2025_20,5400
C00018,VW000027021,2025_20,441
C00018,VW000037335,2025_20,37
C00018,V53343106,2025_20,7497
C00018,VW000035924,2025_20,13177
C00018,V53342836,2025_20,1323
C00018,VW000038990,2025_20,4800
C00018,VW000037395,2025_20,2400
C00303,VW000095163SLP,2025_20,160
C00018,V53342296,2025_20,39
C00303,VW000065106SLP,2025_20,3696
C00303,VW000026780SLP,2025_20,1848
C00303,VW000037397SLP,2025_20,9600
C00018,VW000097898,2025_20,19328
C00303,VW447832SLP,2025_20,3520
C00018,VW000054852,2025_20,30400
C00018,VW000007073,2025_20,4410
C00303,VW000085272SLP,2025_20,1008
C00018,VW151616,2025_20,16000
C00018,VW000065335,2025_20,760
C00303,VW000040372SLP,2025_20,4704
C00303,VW000092467SLP,2025_20,27520
C00303,VW000052297SLP,2025_20,1680
C00018,VW000095903,2025_20,7128
C00018,V53342636,2025_20,1323
C00018,VW000051918,2025_20,2534
C00018,VW000037397,2025_20,14789
C00250,VW000095903POL,2025_20,368
C00250,VW447832POL,2025_20,3128
C00250,VW262948POL,2025_20,560
C00250,VW000074561POL,2025_20,1680
C00250,VW000051919POL,2025_20,7560
C00072,V1001MR035,2025_20,1600
C00072,VW000035923BRA,2025_20,15960
C00072,VW000038990BRA,2025_20,2400
C00072,V53342696BRA,2025_20,1323
C00250,VW000026780POL,2025_20,840
C00250,VW000040372POL,2025_20,2800
C00250,VW000079619POL,2025_20,1600
C00250,VW000067337POL,2025_20,336
C00250,VW000037397POL,2025_20,57600
C00072,VW000058808BRA,2025_20,6440
C00250,VW000079423POL,2025_20,5600
C00250,VW000097898POL,2025_20,5704
C00250,VW000092467POL,2025_20,4896
C00072,VW447251BRA,2025_20,1120
C00072,VW000037335BRA,2025_20,3640
C00250,VW000068615POL,2025_20,7056
C00250,VW000022745POL,2025_20,1008
C00250,VW000095163POL,2025_20,13064
C00250,VW256713POL,2025_20,4860
C00072,V53343086BRA,2025_20,420
C00250,VW241391POL,2025_20,4000
C00250,VW284514POL,2025_20,560
C00250,VW000038990POL,2025_20,8000
C00072,VW151616BRA,2025_20,4620
C00250,VW347551POL,2025_20,2800
C00250,VW000072687POL,2025_20,4200
C00303,VW347551SLP,2025_21,5760
C00303,VW000079423SLP,2025_21,5400
C00303,VW000065106SLP,2025_21,3864
C00018,V53342296,2025_21,1316
C00018,VW000037395,2025_21,1600
C00018,V53343106,2025_21,6174
C00018,VW000038990,2025_21,4000
C00018,VW000035924,2025_21,12648
C00018,V53342836,2025_21,441
C00018,VW000037335,2025_21,439
C00018,VW000027021,2025_21,441
C00303,VW000037397SLP,2025_21,10400
C00303,VW000026780SLP,2025_21,1680
C00018,VW000097898,2025_21,13647
C00303,VW447832SLP,2025_21,3360
C00303,VW000092467SLP,2025_21,25920
C00303,VW000052297SLP,2025_21,1680
C00303,VW000040372SLP,2025_21,4872
C00018,VW000095903,2025_21,4752
C00018,VW000037397,2025_21,12672
C00018,V53342636,2025_21,1323
C00018,VW000051918,2025_21,2559
C00018,VW000065335,2025_21,952
C00018,VW000092467,2025_21,2051
C00018,VW151616,2025_21,12800
C00303,VW000085272SLP,2025_21,1176
C00018,VW000007073,2025_21,3528
C00018,VW000054852,2025_21,28000
C00018,V53512215,2025_21,108
C00250,VW000095903POL,2025_21,920
C00250,VW447832POL,2025_21,3864
C00250,VW262948POL,2025_21,1120
C00250,VW000051919POL,2025_21,7560
C00072,V53342696BRA,2025_21,2646
C00072,VW000038990BRA,2025_21,2400
C00072,VW000035923BRA,2025_21,13720
C00250,VW000074561POL,2025_21,1680
C00250,VW000066590POL,2025_21,840
C00072,VW000058808BRA,2025_21,7840
C00250,VW000067337POL,2025_21,336
C00250,VW000040372POL,2025_21,3360
C00250,VW000079619POL,2025_21,800
C00250,VW000037397POL,2025_21,60000
C00250,VW000026780POL,2025_21,840
C00250,VW000079423POL,2025_21,5600
C00250,VW000097898POL,2025_21,6440
C00072,V53343086BRA,2025_21,280
C00072,VW151616BRA,2025_21,2380
C00250,VW000038990POL,2025_21,7200
C00250,VW284514POL,2025_21,280
C00250,VW347551POL,2025_21,2800
C00250,VW000072687POL,2025_21,5320
C00250,VW241391POL,2025_21,4000
C00250,VW000092467POL,2025_21,4624
C00072,VW447251BRA,2025_21,700
C00072,VW000037335BRA,2025_21,2940
C00250,VW000095163POL,2025_21,13432
C00250,VW256713POL,2025_21,4680
C00250,VW000022745POL,2025_21,1008
C00250,VW000068615POL,2025_21,7056
C00303,VW000079423SLP,2025_22,6600
C00303,VW347551SLP,2025_22,7520
C00018,VW000035924,2025_22,10653
C00018,VW000037335,2025_22,121
C00018,VW000038990,2025_22,4000
C00018,V53342836,2025_22,441
C00018,V53343106,2025_22,4851
C00018,V53342296,2025_22,864
C00303,VW000065106SLP,2025_22,3696
C00250,VW000074561POL,2025_22,1960
C00250,VW000066590POL,2025_22,560
C00250,VW000026833POL,2025_22,280
C00250,VW000051919POL,2025_22,7280
C00250,VW447832POL,2025_22,3128
C00250,VW000095903POL,2025_22,1472
C00250,VW262948POL,2025_22,560
C00250,VW000097898POL,2025_22,6808
C00250,VW000079423POL,2025_22,6400
C00250,VW000037091POL,2025_22,280
C00250,VW000026780POL,2025_22,672
C00250,VW000037397POL,2025_22,62400
C00250,VW000040372POL,2025_22,3640
C00250,VW000079619POL,2025_22,800
C00250,VW000067337POL,2025_22,336
C00018,VW000097898,2025_22,12584
C00018,VW000035923,2025_22,139
C00303,VW000085271SLP,2025_22,336
C00303,VW447832SLP,2025_22,3680
C00303,VW000026780SLP,2025_22,1680
C00303,VW000037397SLP,2025_22,14400
C00303,VW000052297SLP,2025_22,1512
C00303,VW000092467SLP,2025_22,32800
C00303,VW000040372SLP,2025_22,4704
C00250,VW284514POL,2025_22,840
C00250,VW000038990POL,2025_22,8800
C00018,VW000095903,2025_22,4752
C00018,V53342636,2025_22,882
C00018,VW000058808,2025_22,116
C00018,VW000037397,2025_22,9615
C00018,VW000051918,2025_22,1695
C00250,VW347551POL,2025_22,2800
C00250,VW000072687POL,2025_22,5320
C00250,VW241391POL,2025_22,4800
C00303,VW000085272SLP,2025_22,840
C00018,V53512215,2025_22,256
C00018,VW000092467,2025_22,3290
C00018,VW000007073,2025_22,882
C00018,VW000054852,2025_22,22400
C00250,VW000022745POL,2025_22,1344
C00250,VW256713POL,2025_22,4320
C00250,VW000095163POL,2025_22,12880
C00018,VW151616,2025_22,14400
C00018,VW000065335,2025_22,608
C00250,VW000092467POL,2025_22,4896
C00250,VW000068615POL,2025_22,6888
C00072,VW000038990BRA,2025_22,5600
C00072,VW000035923BRA,2025_22,14280
C00072,V53342696BRA,2025_22,2205
C00072,VW000058808BRA,2025_22,3920
C00072,V53343086BRA,2025_22,840
C00072,VW151616BRA,2025_22,1680
C00072,VW447251BRA,2025_22,1400
C00072,VW000037335BRA,2025_22,1680
C00303,VW000040372SLP,2025_23,6888
C00303,VW000052297SLP,2025_23,2184
C00018,VW000095903,2025_23,7128
C00018,VW000051918,2025_23,1752
C00018,VW000037397,2025_23,2066
C00018,VW000058808,2025_23,409
C00303,VW000092467SLP,2025_23,29600
C00018,V53342636,2025_23,882
C00250,VW284514POL,2025_23,560
C00250,VW000038990POL,2025_23,10400
C00250,VW241391POL,2025_23,4800
C00250,VW347551POL,2025_23,5600
C00250,VW000072687POL,2025_23,8400
C00018,VW000007073,2025_23,2646
C00018,V53512215,2025_23,160
C00018,VW000054852,2025_23,21600
C00303,VW000085272SLP,2025_23,1008
C00018,VW000065335,2025_23,480
C00018,VW000092467,2025_23,3651
C00018,VW151616,2025_23,17600
C00250,VW000095163POL,2025_23,13616
C00250,VW256713POL,2025_23,3960
C00250,VW000022745POL,2025_23,1344
C00250,VW000068615POL,2025_23,6720
C00250,VW000092467POL,2025_23,4080
C00303,VW347551SLP,2025_23,6080
C00303,VW000079423SLP,2025_23,4800
C00303,VW000065106SLP,2025_23,5040
C00018,V53342296,2025_23,640
C00018,V53343106,2025_23,5292
C00018,VW000038990,2025_23,3200
C00303,VW000095163SLP,2025_23,1120
C00018,VW000037335,2025_23,103
C00018,VW000035924,2025_23,10719
C00018,V53342836,2025_23,882
C00018,VW000027021,2025_23,441
C00250,VW000026833POL,2025_23,280
C00250,VW000074561POL,2025_23,2240
C00250,VW000051919POL,2025_23,6440
C00250,VW000066590POL,2025_23,560
C00250,VW000095903POL,2025_23,1472
C00250,VW262948POL,2025_23,560
C00250,VW447832POL,2025_23,3680
C00303,VW000037397SLP,2025_23,10400
C00303,VW000026780SLP,2025_23,2016
C00303,VW447832SLP,2025_23,2880
C00018,VW000035923,2025_23,127
C00303,VW000085271SLP,2025_23,168
C00250,VW000067337POL,2025_23,168
C00018,VW000097898,2025_23,15061
C00250,VW000079619POL,2025_23,800
C00250,VW000040372POL,2025_23,3640
C00250,VW000037397POL,2025_23,62400
C00250,VW000026780POL,2025_23,840
C00250,VW000037091POL,2025_23,560
C00250,VW000079423POL,2025_23,6400
C00250,VW000097898POL,2025_23,6808
C00072,V53343086BRA,2025_23,700
C00072,VW151616BRA,2025_23,1680
C00072,VW447251BRA,2025_23,700
C00072,VW000037335BRA,2025_23,1540
C00072,VW000035923BRA,2025_23,13580
C00072,V53342696BRA,2025_23,1764
C00072,V1001MR035,2025_23,160
C00072,VW000038990BRA,2025_23,3200
C00072,VW000058808BRA,2025_23,6160
C00250,VW000037397POL,2025_24,44000
C00250,VW000067337POL,2025_24,168
C00250,VW000026780POL,2025_24,672
C00250,VW000079619POL,2025_24,1600
C00303,VW000026780SLP,2025_24,1680
C00303,VW000037397SLP,2025_24,10400
C00303,VW447832SLP,2025_24,2880
C00250,VW000040372POL,2025_24,3080
C00250,VW000097898POL,2025_24,4600
C00250,VW000079423POL,2025_24,6400
C00250,VW000026833POL,2025_24,560
C00250,VW000066590POL,2025_24,280
C00250,VW000051919POL,2025_24,5600
C00250,VW000074561POL,2025_24,1680
C00250,VW447832POL,2025_24,3680
C00250,VW262948POL,2025_24,560
C00250,VW000095903POL,2025_24,1288
C00303,VW347551SLP,2025_24,5440
C00303,VW000079423SLP,2025_24,4200
C00303,VW000095163SLP,2025_24,1760
C00303,VW000065106SLP,2025_24,3360
C00250,VW000095163POL,2025_24,11040
C00250,VW000022745POL,2025_24,840
C00250,VW256713POL,2025_24,3060
C00303,VW000085272SLP,2025_24,1512
C00250,VW000092467POL,2025_24,3808
C00250,VW000068615POL,2025_24,4368
C00250,VW241391POL,2025_24,4000
C00250,VW000072687POL,2025_24,3920
C00250,VW000038990POL,2025_24,8000
C00125,VW000023134,2025_24,175
C00303,VW000052297SLP,2025_24,1512
C00303,VW000040372SLP,2025_24,5208
C00303,VW000092467SLP,2025_24,26240
C00250,VW284514POL,2025_24,280
C00250,VW347551POL,2025_24,2800
C00018,VW000095903,2025_24,4752
C00018,VW000051918,2025_24,2472
C00018,VW000058808,2025_24,421
C00018,V53342636,2025_24,1764
C00018,VW000037397,2025_24,2622
C00018,VW000054852,2025_24,24000
C00018,V53512215,2025_24,200
C00018,VW000092467,2025_24,2710
C00018,VW000065335,2025_24,520
C00018,VW000007073,2025_24,3087
C00018,VW151616,2025_24,14400
C00018,V53342296,2025_24,720
C00018,VW000027021,2025_24,441
C00018,VW000037335,2025_24,153
C00018,V53342836,2025_24,1323
C00018,VW000035924,2025_24,12025
C00018,VW000037395,2025_24,2400
C00018,VW000038990,2025_24,4000
C00018,V53343106,2025_24,5733
C00018,VW000035923,2025_24,108
C00018,VW000097898,2025_24,10731
C00072,VW000035923BRA,2025_24,5040
C00072,V1001MR035,2025_24,80
C00072,V53342696BRA,2025_24,882
C00072,VW000038990BRA,2025_24,1600
C00072,VW000058808BRA,2025_24,2520
C00072,VW447251BRA,2025_24,1400
C00072,VW000037335BRA,2025_24,560
C00072,V53343086BRA,2025_24,560
C00072,VW151616BRA,2025_24,280
C00018,VW000095903,2025_25,7128
C00018,VW000037397,2025_25,2694
C00303,VW000092467SLP,2025_25,25920
C00018,V53342636,2025_25,1323
C00018,VW000058808,2025_25,523
C00018,VW000051918,2025_25,2525
C00250,VW284514POL,2025_25,1680
C00250,VW000038990POL,2025_25,8000
C00250,VW241391POL,2025_25,5600
C00303,VW000040372SLP,2025_25,5376
C00303,VW000052297SLP,2025_25,1680
C00250,VW000072687POL,2025_25,6440
C00250,VW347551POL,2025_25,2800
C00018,VW151616,2025_25,17600
C00018,VW000092467,2025_25,3963
C00018,VW000065335,2025_25,480
C00250,VW256713POL,2025_25,3240
C00250,VW000095163POL,2025_25,14168
C00250,VW000022745POL,2025_25,672
C00018,VW000054852,2025_25,22400
C00018,VW000007073,2025_25,2646
C00018,V53512215,2025_25,200
C00303,VW000085272SLP,2025_25,1176
C00250,VW000068615POL,2025_25,4368
C00250,VW000092467POL,2025_25,4080
C00250,VW000067337POL,2025_25,168
C00250,VW000037397POL,2025_25,44000
C00250,VW000079619POL,2025_25,1600
C00250,VW000040372POL,2025_25,3360
C00250,VW000026780POL,2025_25,504
C00303,VW000026780SLP,2025_25,1512
C00303,VW000037397SLP,2025_25,9600
C00018,VW000097898,2025_25,13107
C00018,VW000035923,2025_25,216
C00303,VW447832SLP,2025_25,2880
C00250,VW000097898POL,2025_25,5704
C00250,VW000079423POL,2025_25,8000
C00250,VW000026833POL,2025_25,280
C00250,VW000074561POL,2025_25,2240
C00250,VW000066590POL,2025_25,560
C00250,VW000095903POL,2025_25,920
C00250,VW262948POL,2025_25,840
C00250,VW447832POL,2025_25,3680
C00250,VW000051919POL,2025_25,7560
C00303,VW000079423SLP,2025_25,4200
C00303,VW347551SLP,2025_25,5600
C00018,V53343106,2025_25,6174
C00018,V53342836,2025_25,1764
C00018,VW000038990,2025_25,5600
C00018,VW000037395,2025_25,2400
C00303,VW000095163SLP,2025_25,2080
C00018,V53342296,2025_25,680
C00018,VW000026780,2025_25,1186
C00018,VW000035924,2025_25,11691
C00018,VW000037335,2025_25,103
C00018,VW000027021,2025_25,441
C00303,VW000065106SLP,2025_25,3024
C00072,V53343086BRA,2025_25,700
C00072,VW151616BRA,2025_25,1680
C00072,VW447251BRA,2025_25,1540
C00072,VW000037335BRA,2025_25,1540
C00072,VW000058808BRA,2025_25,6020
C00072,VW000035923BRA,2025_25,13440
C00072,V1001MR035,2025_25,160
C00072,V53342696BRA,2025_25,1764
C00072,VW000038990BRA,2025_25,4000
C00250,VW000026833POL,2025_26,280
C00250,VW000066590POL,2025_26,560
C00250,VW000074561POL,2025_26,1960
C00250,VW447832POL,2025_26,3128
C00250,VW000095903POL,2025_26,368
C00250,VW000051919POL,2025_26,7280
C00303,VW347551SLP,2025_26,4320
C00303,VW000079423SLP,2025_26,4200
C00303,VW000065106SLP,2025_26,3192
C00018,V53342296,2025_26,800
C00303,VW000095163SLP,2025_26,1920
C00018,VW000037335,2025_26,256
C00018,VW000035924,2025_26,12394
C00018,VW000026780,2025_26,605
C00018,V53342836,2025_26,882
C00018,VW000038990,2025_26,4000
C00018,V53343106,2025_26,6174
C00250,VW000026780POL,2025_26,336
C00250,VW000037397POL,2025_26,31200
C00250,VW000026834POL,2025_26,280
C00250,VW000040372POL,2025_26,2800
C00250,VW000079619POL,2025_26,800
C00303,VW000026780SLP,2025_26,1344
C00303,VW447832SLP,2025_26,2720
C00303,VW000037397SLP,2025_26,9600
C00018,VW000035923,2025_26,204
C00018,VW000097898,2025_26,12391
C00250,VW000079423POL,2025_26,7200
C00250,VW000097898POL,2025_26,5520
C00250,VW000095163POL,2025_26,14720
C00018,VW000065335,2025_26,600
C00018,VW151616,2025_26,17600
C00250,VW000022745POL,2025_26,336
C00250,VW256713POL,2025_26,1800
C00250,VW000068615POL,2025_26,2520
C00303,VW000085272SLP,2025_26,1176
C00018,VW000092467,2025_26,3872
C00018,V53512215,2025_26,200
C00018,VW000054852,2025_26,24000
C00018,VW000007073,2025_26,2205
C00250,VW000092467POL,2025_26,3808
C00018,VW000095903,2025_26,7128
C00018,VW000058808,2025_26,546
C00018,VW000051918,2025_26,2829
C00018,V53342636,2025_26,1764
C00018,V53342696,2025_26,441
C00018,VW000037397,2025_26,2744
C00250,VW241391POL,2025_26,4800
C00250,VW000072687POL,2025_26,5880
C00250,VW284514POL,2025_26,1120
C00250,VW000038990POL,2025_26,5600
C00303,VW000052297SLP,2025_26,1344
C00303,VW000092467SLP,2025_26,22880
C00303,VW000040372SLP,2025_26,4872
C00250,VW347551POL,2025_26,2800
C00072,VW000038990BRA,2025_26,3200
C00072,VW000035923BRA,2025_26,13440
C00072,V53342696BRA,2025_26,1764
C00072,VW000058808BRA,2025_26,6160
C00072,VW447251BRA,2025_26,1400
C00072,VW000037335BRA,2025_26,1540
C00072,VW151616BRA,2025_26,1820
C00072,V53343086BRA,2025_26,560
C00018,VW000095903,2025_27,7128
C00018,VW000037397,2025_27,2554
C00018,VW000051918,2025_27,3443
C00018,VW000058808,2025_27,666
C00018,V53342636,2025_27,1764
C00250,VW000037395POL,2025_27,800
C00250,VW000038990POL,2025_27,3200
C00303,VW000040372SLP,2025_27,5712
C00303,VW000092467SLP,2025_27,26560
C00303,VW000052297SLP,2025_27,1680
C00250,VW347551POL,2025_27,5600
C00250,VW241391POL,2025_27,4000
C00250,VW000072687POL,2025_27,6720
C00250,VW284514POL,2025_27,1680
C00250,VW000095163POL,2025_27,13984
C00018,VW151616,2025_27,19200
C00018,VW000065335,2025_27,960
C00250,VW000068615POL,2025_27,1008
C00250,VW000022745POL,2025_27,504
C00250,VW256713POL,2025_27,2160
C00018,VW000054852,2025_27,26400
C00018,VW000068615,2025_27,337
C00018,V53512215,2025_27,320
C00018,VW000092467,2025_27,3226
C00303,VW000085272SLP,2025_27,1176
C00250,VW000092467POL,2025_27,4352
C00250,VW000079619POL,2025_27,1600
C00250,VW000037397POL,2025_27,21600
C00250,VW000026834POL,2025_27,280
C00250,VW000026780POL,2025_27,168
C00303,VW000026780SLP,2025_27,1680
C00018,VW000097898,2025_27,11500
C00018,VW000035923,2025_27,285
C00303,VW447832SLP,2025_27,3360
C00303,VW000037397SLP,2025_27,10400
C00250,VW000079423POL,2025_27,6400
C00250,VW000097898POL,2025_27,5336
C00250,VW000037091POL,2025_27,840
C00250,VW000040372POL,2025_27,1400
C00250,VW000074561POL,2025_27,1960
C00250,VW000051919POL,2025_27,7560
C00250,VW000066590POL,2025_27,560
C00250,VW000026833POL,2025_27,560
C00250,VW000095903POL,2025_27,184
C00250,VW447832POL,2025_27,3312
C00018,V53343106,2025_27,7497
C00018,VW000038990,2025_27,4000
C00018,V53342676,2025_27,441
C00018,V53342836,2025_27,441
C00018,VW000026780,2025_27,287
C00018,VW000037335,2025_27,281
C00018,VW000035924,2025_27,13333
C00018,VW000027021,2025_27,441
C00018,V53342296,2025_27,1280
C00303,VW000095163SLP,2025_27,2080
C00303,VW000065106SLP,2025_27,2352
C00303,VW000079423SLP,2025_27,3600
C00303,VW347551SLP,2025_27,5280
C00072,VW151616BRA,2025_27,1680
C00072,V53343086BRA,2025_27,700
C00072,VW447251BRA,2025_27,1540
C00072,VW000037335BRA,2025_27,1540
C00072,VW000058808BRA,2025_27,6160
C00072,VW000035923BRA,2025_27,13580
C00072,VW000038990BRA,2025_27,4000
C00072,V53342696BRA,2025_27,2205
C00303,VW000092467SLP,2025_28,25920
